nome,localita,comune,provincia,tipozona,x_gbo,y_gbo,codseqst,lat,lon
San Felice,VI - San Felice,Vicenza,Vicenza,TU,1697786,5046641,500015645,45.54501935,11.53325638
Boscochiesanuova,Boscochiesanuova,Verona,Verona,BRU,1658917,5050447,500015821,45.58921891,11.03695043
PD Arcella,Arcella Guido Reni,Padova,Padova,TU,1726062,5035121,500021785,45.43285711,11.88971746
VE Via Beccaria,VE - Via Beccaria,Venezia,Venezia,TU,1751691,5040740,500021765,45.4745991,12.21974928
Chiampo,"Chiampo, Via dei Laghi",Chiampo,Vicenza,IU,1679112,5045127,500015029,45.53645866,11.29369584
Cima Ekar,Asiago,Asiago,Vicenza,BRU,1699497,5080469,500015304,45.84869672,11.56905052
Ferrovieri,VI - Ferrovieri,Vicenza,Vicenza,BU,1696967,5045191,500022715,45.532213,11.52219186
TV Via Lancieri,Treviso-via Lancieri N.,Treviso,Treviso,BU,1752210,5062705,500000021,45.67179946,12.23771341
PD Mandria,PD Mandria,Padova,Padova,BU,1722487,5028106,500000197,45.37093912,11.84090501
Parco Colli Euganei,Cinto Euganeo,Cinto Euganeo,Padova,BRU,1707237,5018513,500021975,45.28935892,11.64235783
PD Granze,PD Granze,Padova,Padova,IS,1730223,5029119,500000200,45.37754606,11.94004014
Rovigo Centro,Rovigo Centro,Rovigo,Rovigo,TU,1719050,4994940,500000079,45.07383532,11.78246928
VE Malcontenta,VE - Malcontenta,Venezia,Venezia,IS,1750742,5036660,500023627,45.43827402,12.20554664
VE Via Tagliamento,ME V. Tagliamento,Venezia,Venezia,TU,1751452,5042398,500021732,45.48958527,12.21754533
Montebello,Montebello Nord,Montebello Vicentino,Vicenza,IS,1686573,5037452,500000100,45.46547784,11.38625274
Schio,Schio,Schio,Vicenza,BU,1684303,5064968,500000103,45.71353344,11.36762744
Legnago,Legnago,Legnago,Verona,BU,1681555,5005850,500000116,45.18257622,11.3105227
San Bonifacio,S. Bonifacio,San Bonifacio,Verona,TU,1678888,5029822,500000120,45.39886604,11.28525559
Verona - Borgo Milano,Verona - Borgo Milano,Verona,Verona,TU,1652831,5034294,500000134,45.44440358,10.96300828
Sacca Fisola,VE S. Fisola,Venezia,Venezia,BU,1759184,5035901,500000141,45.42837503,12.31290524
VE Parco Bissuola,Parco Bissuola,Venezia,Venezia,BU,1754826,5043492,500000156,45.49819251,12.26122165
Pieve di Alpago,Pieve di Alpago,(pieve D'alpago Fino Al 22/02/2016),Belluno,BS,1759520,5117620,500015004,46.16250789,12.36110652
San Donà  di Piave,S.Dona Piave,San Dona' Di Piave,Venezia,BU,1779895,5059132,500000149,45.62908463,12.59043082
Conegliano,Conegliano,Conegliano,Treviso,BU,1756609,5087129,500000016,45.88964738,12.30706247
Mansué,Mansue,Mansue',Treviso,BRU,1772628,5081943,500000020,45.83690146,12.51021307
Belluno Città,Belluno Città,Belluno,Belluno,BU,1748534,5114874,500000068,46.14192744,12.21760269
Area Feltrina,Feltre Via Colombo,Feltre,Belluno,BU,1724966,5101654,500000069,46.03127853,11.90661654
Rovigo Borsea,Borsea,Rovigo,Rovigo,BU,1719789,4991070,500000073,45.03881101,11.79015226
Adria,Adria,Rovigo,Rovigo,BU,1741083,4992618,500000077,45.04582512,12.06086934
Badia Polesine-Villafora,M M 11 ROVIGO,Badia Polesine,Rovigo,BRU,1700854,4997696,500000082,45.10401782,11.55265207
Bassano,Bassano del Grappa,Bassano Del Grappa,Vicenza,BU,1712789,5070982,500000106,45.75943177,11.73587076
Quartiere Italia,VI - Quartiere Italia,Vicenza,Vicenza,BU,1698163,5048279,500000099,45.55964101,11.53874455
VR-Giarol Grande,VR-Giarol Grande,Verona,Verona,BS,1658859,5033123,500031115,45.43340535,11.03056876
Este,Este Stazie Bragadine,Este,Padova,IS,1709338,5011647,500021960,45.22700003,11.6662267
Alta Padovana,Carrello - S.Giustina in Colle,Santa Giustina In Colle,Padova,BRU,1726463,5053899,500022612,45.60152856,11.90351582
VE - Rio Novo,VE - Rio Novo,Venezia,Venezia,TU,1759952,5036731,500032515,45.43557116,12.32312960
